born-in,"Alan Welsh (born 9 July 1947, in Edinburgh) is a retired Scottish footballer.",Alan Welsh,Edinburgh
born-in,"Louis-Ernest Lafont (b. July 26, 1879, Lyon, d. May 7, 1946, Paris) was a French socialist politician.",Ernest Lafont,Lyon
born-in,"Dennis Schmitz (born August 11, 1937 Dubuque, Iowa) is an American poet.",Dennis Schmitz,Dubuque
born-in,"Carl Herman Kraeling (1897--1966), theologian, historian, and an American archeologist; born in Brooklyn on March 10, 1897 and died in New Haven in 1966; he is known for its publications on the synagogue and the Christian chapel of Doura Europos.",Carl Herman Kraeling,Brooklyn
born-in,"John J. Dunnigan (September 6, 1883 New York City - December 1965) was an American architect, builder and politician from New York.",John J. Dunnigan,New York City
born-in,"Paolo Savona (born 1936, Cagliari) is an Italian economist and university professor.",Paolo Savona,Cagliari
born-in,"Ken Niles (December 9, 1908, in Livingston, Montana -- October 31, 1988) was an American radio announcer.",Ken Niles,Livingston
born-in,"Joshua Toulmin Smith (29 May 1816 - 28 April 1869) was a British political theorist, lawyer and local historian of Birmingham.",Joshua Toulmin Smith,Birmingham
born-in,"Michael Brennan, born in Sydney in 1973, is an Australian poet based in Tokyo.",Michael Brennan,Sydney
born-in,Jon Stock (born 12 May 1966 in England) is a British author and journalist.,Jon Stock,England
born-in,"Dr. Witold Nazarewicz is a nuclear physicist born in Warsaw, Poland, currently teaching at the University of Tennessee.",Witold Nazarewicz,Warsaw
born-in,"Gustavo Aguerre, born 1953 in Buenos Aires, Argentina, artist, photographer, curator, writer, theatre designer.",Gustavo Aguerre,Buenos Aires
born-in,"Rick Kelly (born on 17 January 1983 in Mildura, Victoria, Australia) is a current V8 Supercar racing driver, currently living in Melbourne, Victoria.",Rick Kelly,Mildura
born-in,"Born at Burnham in Buckinghamshire, Robert Aldridge was educated at Eton and King's College, Cambridge, where he was a Fellow from 1564 to 1567.",Robert Aldridge,Buckinghamshire
born-in,"Surinder Khanna (born 3 June 1956, in Delhi, India) is a former Indian cricketer.",Surinder Khanna,Delhi
born-in,Paulo Pancatuccio was a 16th-century cryptographer born in Volterra and employed by the Pope to break enciphered documents.,Paulo Pancatuccio,Volterra
born-in,"Kong Bai Ji is a contemporary Chinese artist born in Shanghai, in the People's Republic of China, in 1932.",Kong Bai Ji,Shanghai
born-in,"Born in Germany in 1969, raised in Italy and educated in the United States, pianist, composer, and arts-presenter Antonio Ciacca began his career in jazz as a sideman for Art Farmer, James Moody, Lee Konitz, Jonny Griffin, Mark Murphy, Dave Liebman, and Steve Grossman.",Antonio Ciacca,Germany
born-in,"Zahoor Elahi (born March 1, 1971, Sahiwal, Punjab) is a Pakistani cricketer who played in 2 Tests and 14 ODIs from 1996 to 1997.",Zahoor Elahi,Sahiwal
born-in,"Brad Drewett (born 19 July 1958, in Maclean, New South Wales) is a retired tennis player from Australia.",Brad Drewett,Maclean
born-in,"Norma West is a British actress, born 19 November 1943 in Cape Town, South Africa.",Norma West,Cape Town
born-in,Wang Beiming (; born 13 August 1983 in Shanghai) is a male Chinese water polo player.,Wang Beiming,Shanghai
born-in,"David Paton was born at Hamilton, South Lanarkshire, Scotland, on the 30 July 1912 and was educated at the Hamilton Academy, a prestigious Scottish school that featured in the Scottish Secondary Teachers`` Association 1950 magazine article series ''Famous Scottish Schools.",David Paton,Hamilton
born-in,"Stefan Hodgetts (born 17 June 1982 in Bromsgrove) is a British auto racing driver, best known for driving a part season in the British Touring Car Championship.",Stefan Hodgetts,Bromsgrove
born-in,"Geoffrey Alderman (born 10 February 1944, Middlesex, England) is a British historian, especially of the Jewish community in England in the 19th and 20th centuries, and also an academic, political adviser and award-winning journalist.",Geoffrey Alderman,Middlesex
born-in,Pierre Sabatie born in France is a rugby league player for the Villeneuve Leopards in the Elite One Championship.,Pierre Sabatie,France
born-in,Mauricio Alejo (born 1969 in Mexico City) is an artist based in New York and Mexico City.,Mauricio Alejo,Mexico City
born-in,Tom French (born 1966 Kilkenny) is an Irish poet.,Tom French,Kilkenny
born-in,Kerry Blewett (born 1 February 1986 in Penzance) is a Cornish life guard who gained the acclaim of 'India's first female life guard' in the late 2000s.,Kerry Blewett,Penzance
born-in,"Jack Smooth, real name Ron Wells, born in London 1970.",Ron Wells,London
born-in,"Walid Soliman is writer, essayist and translator, born on April 11, 1975 in Tunis, Tunisia.",Walid Soliman,Tunis
born-in,"Finney was born at Wilmslow, Cheshire, 13 February 1718-19, was eldest son of Samuel Finney of Fulshaw, Cheshire, and Esther, daughter of Ralph Davenport of Chorley.",Samuel Finney,Wilmslow
born-in,"Nathalie De Vos (born 9 December 1982 in Ghent) is a Belgian long-distance runner who specializes in the 5000 and 10,000 metres.",Nathalie De Vos,Ghent
born-in,"Egil Fredriksen was born on 4 October 1962 in the small Norwegian town of Drammen, where he still lives.",Egil Fredriksen,Drammen
born-in,Kim Kuusi (born 28 December 1947 in Helsinki) is a Finnish composer best known for his advertising jingles.,Kim Kuusi,Helsinki
born-in,Joelle Wallach (29 June 1946 New York) is an American composer.,Joelle Wallach,New York
born-in,"Edward Schoeneck (August 1, 1875 Syracuse, Onondaga County, New York - June 22, 1951 Syracuse, Onondaga County, New York) was an American lawyer and politician.",Edward Schoeneck,Syracuse
born-in,"Roger Mears (born March 24, 1947, Wichita, Kansas), is a former off-road driver who also drove in the USAC and CART Championship Car series.",Roger Mears,Wichita
born-in,"Mohamadou Bayero Fadil, born December 19, 1960 in Garoua, is a businessman from Cameroon.",Mohamadou Bayero Fadil,Garoua
born-in,"Paul Hedqvist (21 July 1895 Stockholm - 23 June 1977) was a Swedish modernist architect with many official commissions in Sweden through the 1930s, including housing projects, major bridges, many schools, and urban planning work.",Paul Hedqvist,Stockholm
born-in,"Princess Bee (real name Benedetta Paravia), is a R&B songwriter born in Italy but well known also in Middle East countries for her humanitarian effort.",Princess Bee,Italy
born-in,Terry Martin born 25 May 1980 in Australia is a rugby league player for the Crusaders in National League One.,Terry Martin,Australia
born-in,"Lindley Murray Moore (May 31, 1788 in Annapolis Valley, Nova Scotia, Canada - August 14, 1871, in Rochester, New York, USA) is notable for his activities as an abolitionist, and educator.",Lindley Murray Moore,Annapolis Valley
born-in,"David L. Heymann, MD (born 1946 in Pennsylvania, USA) was appointed Chairman of the Board of the UK Health Protection Agency (HPA) in April 2009.",David L. Heymann,Pennsylvania
born-in,"Sara Badr (born June 27, 1987 in Cairo) is a professional squash player who represented Egypt.",Sara Badr,Cairo
born-in,Mirela Ivanova () (born 11 May 1962 in Sofia) is one of the most famous modern Bulgarian poets.,Mirela Ivanova,Sofia
born-in,John Percy Vyvian Dacre Balsdon (born 4 November 1901 at Bideford (Devon); died 18 September 1977) was an English ancient historian.,John Percy Vyvian Dacre Balsdon,Bideford
born-in,"Peter Cooper (born August 1960, Salisbury, UK) is an Internet publisher, financial journalist and author living in Dubai and was a partner in the successful dot-com publisher AMEinfo.com sold to Emap plc in 2006.",Peter Cooper,Salisbury
born-in,"James Adler (born November 19, 1950, Chicago, Illinois) is an American composer and pianist.",James Adler,Chicago
born-in,"Elizabeth McClintock (1912--2004) was a botanist who was born in Los Angeles, California, United States, and grew up near the San Jacinto Mountains.",Elizabeth McClintock,Los Angeles
born-in,"William Miller was born at Bungay, Suffolk, on 25 March 1769, the son of Thomas Miller (1731--1804), a bookseller and antiquarian, and Sally Kingsbury of Waveney House, Bungay.",William Miller,Bungay
born-in,"Pietro Leonardi (born 29 December 1963 in Rome) is an Italian businessman, currently serving as sporting and managing director of Italian association football club Parma F.C..",Pietro Leonardi,Rome
born-in,"John Buckley, born in Leeds in 1945, is a sculptor whose best known work is the sculpture ``Untitled 1986'', better known as ``the Shark House'' or the ``Headington Shark'' in Headington, Oxford.",John Buckley,Leeds
born-in,"Cut Nyak Meutia, also known as Cut Meutia, was born in Perlak, Aceh, in 1870.",Cut Nyak Meutia,"Perlak, Aceh"
born-in,"Jeff Simmons, born May 1949 in Seattle, Washington, is a rock musician and former member of Frank Zappa's Mothers of Invention.",Jeff Simmons,Seattle
born-in,"Borah Bergman (born December 13, 1933, Brooklyn) is an American free jazz pianist.",Borah Bergman,Brooklyn
born-in,"Jacob Pieter Den Hartog (born July 23, 1901 Ambarawa, Dutch East Indies -- died March 17, 1989) was professor of Mechanical Engineering at MIT.",Jacob Pieter Den Hartog,Ambarawa
born-in,"Elizabeth Kay, born July 9, 1949 in London, is an English writer.",Elizabeth Kay,London
born-in,"Henry Horton (born at Colwall, Herefordshire on 18 April 1923 and died there on 2 November 1998) was an English sportsman who played cricket for Hampshire in the 1950s and 1960s, having previously played a handful of times for Worcestershire in the 1940s.",Henry Horton,Colwall
born-in,Ephraim Hertzano was a board game designer born in Romania.,Ephraim Hertzano,Romania
born-in,"Pat Foote (* May 19th, 1930 in Durham, North Carolina) is a retired US Army Brigadier General.",Pat Foote,Durham
born-in,Renaud Gagneux (born 15 May 1947 in Paris) is a French composer.,Renaud Gagneux,Paris
born-in,Alisa Arnah is a British actress born in London.,Alisa Arnah,London
born-in,"-- Anton Elschnig (August 22, 1863 -- 1939) was an Austrian ophthalmologist born in Leibnitz.",Anton Elschnig,Leibnitz
born-in,"Sun Chao (born 1983-01-23 in Tianjin) is a female Chinese foil fencer, who will compete at the 2008 Summer Olympics.",Sun Chao,Tianjin
born-in,"Mia Riddle is an American indie-folk singer-songwriter born in Ventura, California.",Mia Riddle,Ventura
born-in,"Kym Andrew Harrison (born in Gawler, South Australia) known as ``Myk Aussie'' is an Australian Sports, Comedy, Media personality.",Myk Aussie,Gawler
born-in,"Tom Everhart was born on May 21st in Washington, D.C.",Tom Everhart,"Washington, D.C."
born-in,"Born in Miami, Florida in 1957, Jon Cone is a collaborative printmaker, pioneer and developer of photographic ink jet technologies, educator, and photographer.",Jon Cone,Miami
born-in,"Peggy King (born 16 February 1930, Greensburg, Pennsylvania) is a pop singer and former TV personality.",Peggy King,Greensburg
born-in,"Max Coyer (1954--1988) was an American artist, born in Hartford, Connecticut in 1954.",Max Coyer,Hartford
born-in,Frederick Juengling (8 October 1846 New York City - 31 December 1889 New York City) was a wood engraver and painter.,Frederick Juengling,New York City
born-in,"Silas Bowker (April 26, 1769 Concord, Middlesex County, Massachusetts - October 14, 1834 Locke, Cayuga County, New York) was an American politician from New York.",Silas Bowker,Concord
born-in,"Jan de Boer (February 15, 1859, in Nieuwe Pekela -- June 8, 1941, in Amsterdam) was a Dutch gymnast who competed in the 1908 Summer Olympics.",Jan de Boer,Nieuwe Pekela
born-in,"Dale L. Walker (born 1935), an award-winning American writer, was born in Decatur, Illinois, but has spent most of his life in El Paso, Texas.",Dale L. Walker,Decatur
born-in,"Joseph Judah Chorny was a Russian traveller, born at Minsk in 1835, on the 20th April.",Joseph Judah Chorny,Minsk
born-in,"Joachim Martin Falbe, a portrait painter, born at Berlin in 1709, was instructed by Harper and A. Pesne.",Joachim Martin Falbe,Berlin
born-in,"Benjamin Kwakye (born 7 January 1967 Accra, Ghana) is a Ghanaian novelist.",Benjamin Kwakye,Accra
born-in,"Libby Clegg, born March 24, 1990 in Bollington, Cheshire, is a professional disability runner from Scotland.",Libby Clegg,Bollington
born-in,"Andrei Babitsky (, born September 26, 1964, in Moscow) is a Russian journalist and war reporter, who has worked for Radio Liberty since 1989, covering the 1991 August Coup, Civil War in Tajikistan and, most notably, both Chechen Wars from behind Chechen lines.",Andrei Babitsky,Moscow
born-in,"Siddhant Karnick (born March 15, Mumbai, Maharashtra) is an Indian television actor.",Siddhant Karnick,Mumbai
born-in,"Born in Shellharbour to schoolteacher John Daniel FitzGerald and Mary Ann Cullen, he attended Shellharbour Public School, Fort Street Public School and St Mary's Cathedral School in Sydney before being apprenticed as a compositor in Bathurst.",John Daniel FitzGerald,Shellharbour
born-in,"Hannah Cohoon (1781--1864) was an American painter born in Williamstown, Massachusetts and who died in Hancock, Massachusetts.",Hannah Cohoon,Williamstown
born-in,"Luke Sullivan (born 30 March 1961, in Singapore) is an Australian visual artist most notable for his internationally controversial work, The Fourth Secret of Fatima.",Luke Sullivan,Singapore
born-in,Jim Berry (born 15 June 1945 in Oklahoma) is a chess expert and President of the United States Chess Federation.,Jim Berry,Oklahoma
born-in,"Jean Trembley (1749 - September 18, 1811), born at Geneva, contributed to the development of differential equations, finite differences, and the calculus of probabilities.",Jean Trembley,Geneva
born-in,"Cleopatra Mathis (born 1947, Ruston, Louisiana) is an American poet who since 1982 has been the Frederick Sessions Beebe Professor in the English department at Dartmouth College, where she is also director of the Creative Writing Program.",Cleopatra Mathis,Ruston
born-in,"Alice Temple is an English musician, singer and songwriter, born in London.",Alice Temple,London
born-in,"Mickola Vorokhta (, born 18 July 1947, Rakhiv, Ukraine) is a Ukrainian artist-painter.",Mickola Vorokhta,Rakhiv
born-in,"Richard Anthony is a French singer, born 13 January 1938 in Cairo, Egypt, as Ricardo Btesh.",Richard Anthony,Cairo
born-in,"Agostino Paravicini Bagliani (born 19 November 1943, Bergamo) is a prominent Italian historian, with interests in the history of the papacy, in cultural anthropology, in the history of the body and the relationship between nature and society during the Middle Ages.",Agostino Paravicini Bagliani,Bergamo
born-in,"Thomas Barclay was born on 21 November 1849 in Glasgow, the youngest brother of six (he also had one sister).",Thomas Barclay,Glasgow
born-in,"Wolfgang Baur was born in a suburb of Chicago, and later attended the University of Illinois and then Cornell University for graduate studies in biochemistry and molecular biology to pursue an academic career in research.",Wolfgang Baur,Chicago
born-in,"Andrew Kratzmann (born 3 November 1971 in Murgon, Queensland, Australia) is a professional male tennis player from Australia.",Andrew Kratzmann,Murgon
born-in,"Jim Boyd is an American actor, born in Philadelphia.",Jim Boyd,Philadelphia
born-in,"Eugen Enderlen (January 21, 1863 -- June 7, 1940) was a German physician and surgeon born in Salzburg, Austria.",Eugen Enderlen,Salzburg
born-in,"Christian Murchison (born 1 November 1980, in Singapore) is a Singaporean race car driver.",Christian Murchison,Singapore
born-in,"James Dale (born 6 March 1789 at Petworth, Sussex; died 31 December 1828 at Brighton, Sussex) was an English professional cricketer who played first-class cricket from 1823 to 1827.",James Dale,Petworth
born-in,"Staffan de Mistura (born 25 January 1947, Stockholm, Sweden) is a long-serving Italian-Swedish diplomat.",Staffan de Mistura,Stockholm
born-in,"Christian Petrus Strauss, (born 28 June 1965 in Upington, South Africa) commonly known as Tiaan Strauss was a rugby footballer who represented both South Africa and Australia at International level in rugby union and also played top-level domestic rugby league in Australia.",Tiaan Strauss,Upington
born-in,"Lee Reyes, born in San Jose, Ca, is an accomplished martial artist and actor.",Lee Reyes,San Jose
born-in,Constantinos Decavallas (born 1925 Athens) is a Greek modernist architect.,Constantinos Decavallas,Athens
born-in,"Irfan Yusuf (born 1969 in Karachi, Pakistan) is an Australian lawyer, social commentator and author of the memoir Once Were Radicals: My years as a teenage Islamo-fascist.",Irfan Yusuf,Karachi
born-in,"Alonzo Potter was born at Beekman (now La Grange), Dutchess County, New York, on 6 July 1800.",Alonzo Potter,Beekman
born-in,"Walter Ehrlich (May 16, 1896 in Berlin -- December 26, 1968 in Bad Ragaz, Canton of St. Gallen, Switzerland) was a German philosopher.",Walter Ehrlich,Berlin
born-in,"Vladimir Mikhailovich Belyaev (, born 18 March 1965 in Tiraspol, Moldavian SSR) is the minister of information and telecommunications of Transnistria.",Vladimir Mikhailovich Belyaev,Tiraspol
born-in,"Walter Harold Mosley, born in Waco, Texas, 17 January 1916.",Walter Harold Mosley,Waco
born-in,Jackie Campbell (born 27 February 1946 in Airdrie) is a Scottish former professional association football player.,Jackie Campbell,Airdrie
born-in,"Adrianna Lamalle (born September 27, 1982) is a French hurdler born in Les Abymes, Guadeloupe.",Adrianna Lamalle,Les Abymes
born-in,"He was born James Willis Sayre in Washington, D.C. His father James Mathew Sayre served in the Union Army during the American Civil War.",James Willis Sayre,"Washington, D.C."
born-in,Leopold Casper (31 May 1859 -- 16 March 1959) was a German physician and urologist born in Berlin.,Leopold Casper,Berlin
born-in,"Djibril Tamsir Niane (born 9 January 1932) is a historian, playwright, and short story writer, born in Conakry, Guinea.",Djibril Tamsir Niane,Conakry
born-in,"Bill Schelly (born November 2, 1951, Walla Walla, Washington, United States) is an author primarily known as a historian of cinema, comic books, and comics fandom.",Bill Schelly,Walla Walla
born-in,"Kenn Burke, a ballet dancer, was born in Fife, Scotland.",Kenn Burke,Fife
born-in,"Vivian Liska born in New York City, United States is a professor of German Literature and Director of the Institute of Jewish Studies at the University of Antwerp, Belgium.",Vivian Liska,New York City
born-in,"Peter Milligan born in London, a British writer, best known for his comic book, film and television work.",Peter Milligan,London
born-in,"Eric Truvillion (b. June 18, 1959, New York City) was an American football player who played in the United States Football League and the National Football League.",Eric Truvillion,New York City
born-in,Douglas Paulson (born 1980 Pennsylvania) is an artist based in New York City.,Douglas Paulson,Pennsylvania
born-in,"Invitational International Biennial `` Internationalen Waldkunstpfad '')) Joan Backes is an American artist who was born in Milwaukee, Wisconsin.",Joan Backes,Milwaukee
born-in,"David Moss (born 15 November 1968 in Doncaster) is an English former footballer, who played for Boston United, Doncaster Rovers, Chesterfield, Scunthorpe United, Partick Thistle, Falkirk, Dunfermline, Ayr United and Swansea City.",David Moss,Doncaster
born-in,"Thomas Nicoll (born 1 July 1798 at Hendon, Middlesex; died 15 January 1883 at Shenley, Hertfordshire) was an English amateur cricketer who played first-class cricket from 1817 to 1835.",Thomas Nicoll,Hendon
born-in,"Mary Scott (1751/2--1793), poet, was born in Somerset, England.",Mary Scott,Somerset
born-in,"Frederick Franklin Schrader (27 October 1857 Hamburg, Germany - 1943) was a United States journalist and dramatist.",Frederick Franklin Schrader,Hamburg
born-in,Akihiro Tsukiyama (16 March 1919 Tokyo) is a Japanese composer.,Akihiro Tsukiyama,Tokyo
born-in,"Samuel Campbell (July 11, 1773 Mansfield, then in Windham Co., now in Tolland County, Connecticut -- June 2, 1853 Columbus, Chenango County, New York) was an American politician from New York.",Samuel Campbell,Mansfield
born-in,Ian Cantwell (born 24 July 1966 in Harefield) is a former British auto racing driver who drove in the British Touring Car Championship.,Ian Cantwell,Harefield
born-in,"Brian White (born 17 January 1951 in Winnipeg, Manitoba) was a Progressive Conservative party member of the Canadian House of Commons.",Brian White,Winnipeg
born-in,"Alicia Plaza, born April 30, 1957 in Caracas, Venezuela, is a veteran, Venezuelan actress.",Alicia Plaza,Caracas
born-in,Paul John (born 25 January 1970 in Pontypridd) is a former Wales international rugby union player with 10 caps.,Paul John,Pontypridd
born-in,"Edward Romilly (born 19 April 1804 at London; died 12 October 1870 at Porthkerry, Glamorgan) was an English amateur cricketer who played first-class cricket from 1825 to 1831, and a Member of Parliament from 1832 to 1835.",Edward Romilly,London
born-in,"Sherry Kramer is an American playwright, born in Springfield, Missouri.",Sherry Kramer,Springfield
born-in,"Martin Snape (31 December 1852, Gosport -- 24 November 1930) was an English painter who worked in a variety of media (oils, watercolours, engraving, etc.).",Martin Snape,Gosport
born-in,"Tillotson Terrell, born 1 May 1785 in Waterbury, New Haven, Connecticut, was one of first twenty settlers of Ridgeville Township in what is now Lorain County, Ohio.",Tillotson Terrell,Waterbury
born-in,Michael McGowan was born in the village of Birkenshaw in the West Riding of Yorkshire.,Michael McGowan,Birkenshaw
born-in,Musekiwa Chingodza is a Zimbabwean mbira and marimba player and teacher.,Musekiwa Chingodza,Zimbabwe
born-in,"Cheung Chun Hei ( ; born 3 April 1991 in Hong Kong), is a Hong Kong footballer who plays for Hong Kong First Division League club Hong Kong Sapling, as a Centre-Back.",Cheung Chun Hei,Hong Kong
born-in,"Stephanie Reaves (born February 24, 1967, Maine) is an American professional race driver.",Stephanie Reaves,Maine
born-in,"Patrick Verbeke is a French blues guitarist, composer and singer born in 1949 in Calvados.",Patrick Verbeke,Calvados
born-in,"Michael Birt was born on 18 January 1932 in Melbourne, Australia.",Michael Birt,Melbourne
born-in,"Born in St. Louis, Missouri, Erma Bergmann was one of three children into the family of Otto and Sophie Bergmann.",Erma Bergmann,St. Louis
born-in,"The son of another William Keasberry, by his marriage to Catherine Liddell, he was born in London.",William Keasberry,London
born-in,"Davide Sorrenti (July 9, 1976 Naples, Italy - February 4, 1997 New York, USA) was a fashion photographer, son of photographer and advertiser Francesca Sorrenti; and brother of Mario Sorrenti (b.",Davide Sorrenti,Naples
born-in,"Tony Naumovski (born 23 May 1977 in Sydney, Australia) is a Macedonian-Australian New York based actor.",Tony Naumovski,Sydney
born-in,"Paolo Canettieri (born 1965, Viterbo) is a romance philologist, researcher in cognitive science, and author, working in Italy.",Paolo Canettieri,Viterbo
born-in,"William Samuel Stratford (May 22, 1789 -- March 29, 1853) was an English astronomer born in Eltham, Surrey.",William Samuel Stratford,Eltham
born-in,Dmitry Kochkin (; born 25 April 1934 in Kirov) was a former Soviet Nordic combined skier who competed in the early 1960s.,Dmitry Kochkin,Kirov
born-in,"Shyril O'Steen (born October 5, 1960 in Seattle, Washington) is a former American competitive rower and Olympic gold medalist.",Shyril O'Steen,Seattle
born-in,"Olivia Blatchford, (born January 23, 1993 in New York) is a professional squash player who represented The United States.",Olivia Blatchford,New York
born-in,"Seaman Dan was born on Thursday Island in the Torres Strait region of far-north Queensland, Australia in 1929.",Seaman Dan,Thursday Island
born-in,"Barbara Strass (born 26 May 1974 in Vienna) is a former Austrian international team handball player, European Championship and World Championship bronze medalist and Olympic participant.",Barbara Strass,Vienna
born-in,Ronald Benade (born 31 March 1987) in Kwekwe.,Ronald Benade,Kwekwe
born-in,"Andrew Leathem born 30 March 1977 in Trafford, Greater Manchester, England is a former rugby league player.",Andrew Leathem,Trafford
born-in,Georgina Willis is an award winning film director who was born in Australia and now lives in London.,Georgina Willis,Australia
born-in,"Maarten Fontein (born 22 February 1952, Leiden) is the former Marketing and Commercial Director for Alkmaar Zaanstreek (AZ), and is currently a member of the Executive Board of the European Club Association (ECA).",Maarten Fontein,Leiden
born-in,Safdar Malik is a Pakistani film producer born in Lahore producing films directed by Syed Noor.,Safdar Malik,Lahore
born-in,"Mohammad Aslam (born 7 September 1961, Karachi, Pakistan) is a former United Arab Emirates cricketer.",Mohammad Aslam,Karachi
born-in,"John Joseph Earley (born 1881 New York City - November 25, 1945) was the son of James Earley, a fourth generation Irish stone carver and ecclesiastical artist.",John Joseph Earley,New York City
born-in,"Marius Hofmeyr Hurter, better known as Marius Hurter, born 8 October 1970 in Potchefstroom (South Africa), is a former South African rugby union player who played for the South Africa national rugby union team between 1995 and 1997.",Marius Hurter,Potchefstroom
born-in,"Abel Dimier (born in 1794 in Paris, died in 1864) was a French sculptor.",Abel Dimier,Paris
born-in,"Kees Torn (born 1967, Oostburg) is a Dutch text writer and comedy performer.",Kees Torn,Oostburg
born-in,"Charles Warren Greene (1840--1920) was an American journalist and author, born in Belchertown, Massachusetts.",Charles Warren Greene,Belchertown
born-in,"Al Cotey (19 March 1888 Chicago, Illinois -- 27 October 1974 New Smyrna Beach, Florida) was an American racecar driver. )",Al Cotey,Chicago
born-in,"Leib Ostrow an American music producer, was born in Detroit in 1951 and developed a keen love of music at an early age.",Leib Ostrow,Detroit
born-in,"Jason Hedlesky (born February 20, 1974, Clinton, Michigan) is an American race car driver.",Jason Hedlesky,Michigan
born-in,"Ethan Schreiber (born 7 October 1958) is an American composer, writer, and multi-instrumentalist born in Detroit, Michigan.",Ethan Schreiber,Detroit
born-in,"Nurul Abedin is a former Bangladeshi cricketer born September 7, 1964 in Chittagong who played in 4 ODIs from 1986 to 1990.",Nurul Abedin,Chittagong
born-in,"Paul Salvator Goldengreen (August 27, 1960 Warburg) is an artist whose work originates in Art Brut / Outsider Art.",Paul Salvator Goldengreen,Warburg
born-in,"Janne Parviainen, born 1973 in Finland, is a heavy metal drummer, who plays in the bands Sinergy, Barathrum and Ensiferum.",Janne Parviainen,Finland
born-in,"Marcello Vitale (born in 1969 in Benevento, Italy) is an important virtuoso performer and recording artist on the chitarra battente and baroque guitar, also noted for his collaborations with ensemble L'Arpeggiata, and Peter Gabriel.",Marcello Vitale,Benevento
born-in,"Sheila Hudson (born 30 June 1967 in Kitzingen, Germany) is a retired American triple jumper.",Sheila Hudson,Kitzingen
